counterfactual_variant,macro_step_id,date,code_id,source_prob,source_trigger,alpha,action_l1_shift,market_gate,daily_steps,portfolio_value
learned_context_no_bad_penalty_hidden_direction,8,2022-02-23,5,0.07618880670032104,False,0.0010511325672268867,1.2215226888656616e-05,0.6557879350576311,5,994052.6735247845
learned_context_no_bad_penalty_hidden_direction,9,2022-03-02,3,0.03677156018672413,False,0.0009929342195391655,1.2271106243133545e-05,0.5662388938736064,5,995664.7522120222
learned_context_no_bad_penalty_hidden_direction,10,2022-03-09,3,0.04600244101259036,False,0.0009100752067752182,9.834766387939453e-06,0.5778284910415538,5,993541.5826389061
learned_context_no_bad_penalty_hidden_direction,11,2022-03-16,3,0.04881542849485206,False,0.0008725778316147625,1.0380521416664124e-05,0.6300839334345363,5,999387.2388205129
learned_context_no_bad_penalty_hidden_direction,12,2022-03-23,7,0.0772012795546055,False,0.0011785418028011918,1.1056661605834961e-05,0.5735663087493761,5,1000785.3640883971
learned_context_no_bad_penalty_hidden_direction,13,2022-03-29,6,0.09156807217361469,False,0.0008738629403524101,9.287148714065552e-06,0.6815527846924913,4,1005195.8050475621
learned_context_no_bad_penalty_hidden_direction,14,2022-04-05,4,0.28890675809647876,True,0.0008910363540053368,8.383765816688538e-06,0.6849733242815003,5,999161.0575213465
learned_context_no_bad_penalty_hidden_direction,15,2022-04-12,5,0.09154127311170984,False,0.0010744496248662472,1.1827796697616577e-05,0.6783875705250643,5,998998.0902834933
learned_context_no_bad_penalty_hidden_direction,16,2022-04-20,6,0.0931106943845291,False,0.0009106232901103795,1.0056421160697937e-05,0.6906133743180191,5,999614.89636583
learned_context_no_bad_penalty_hidden_direction,17,2022-04-26,5,0.09737706791320211,False,0.0011266822693869472,1.2038275599479675e-05,0.5745982210245033,4,982724.0170508588
learned_context_no_bad_penalty_hidden_direction,18,2022-04-27,3,0.05291197685301876,False,0.0009489516960456967,1.1092051863670349e-05,0.5246100437750665,1,989847.1940497981
learned_context_no_bad_penalty_hidden_direction,19,2022-05-04,3,0.045555381084530853,False,0.0009442518930882215,1.0753050446510315e-05,0.5458752564610804,5,979368.8870263508
learned_context_no_bad_penalty_hidden_direction,20,2022-05-11,3,0.08989220803719888,False,0.0009245970286428928,9.901821613311768e-06,0.5681764704611509,5,965484.848074644
learned_context_no_bad_penalty_hidden_direction,21,2022-05-17,3,0.022400579103707578,False,0.0009654651512391865,1.1643394827842712e-05,0.594563577714032,4,962479.6376970189
learned_context_no_bad_penalty_hidden_direction,22,2022-05-24,3,0.07075874002946604,False,0.0009364711004309356,1.0181218385696411e-05,0.529089242767724,5,967784.642301125
learned_context_no_bad_penalty_hidden_direction,23,2022-05-26,3,0.04586967570724271,False,0.0009152282145805657,9.663403034210205e-06,0.6226517071753066,2,982132.5459001969
learned_context_no_bad_penalty_hidden_direction,24,2022-06-03,7,0.03881144069663308,False,0.0011145534226670861,1.0658055543899536e-05,0.6327658029816652,5,981227.1393279112
learned_context_no_bad_penalty_hidden_direction,25,2022-06-10,6,0.0704528786627338,False,0.0008130217902362347,8.935108780860901e-06,0.6671740251871716,5,945866.7554467897
learned_context_no_bad_penalty_hidden_direction,26,2022-06-13,3,0.059502824551117654,False,0.000973947870079428,1.1196359992027283e-05,0.5138981939574438,1,943917.0498315505
learned_context_no_bad_penalty_hidden_direction,27,2022-06-21,3,0.048345109728485845,False,0.0009419484995305538,1.1082738637924194e-05,0.5132951753291757,5,947345.9865053837
learned_context_no_bad_penalty_hidden_direction,28,2022-06-27,3,0.02955106212038321,False,0.000924761756323278,1.0458752512931824e-05,0.5907453454143905,4,952096.0788717605
learned_context_no_bad_penalty_hidden_direction,29,2022-07-05,3,0.08149713978060323,False,0.0009573418647050858,1.0099261999130249e-05,0.606531627555508,5,954056.7237078195
learned_context_no_bad_penalty_hidden_direction,30,2022-07-12,3,0.040302318014523685,False,0.0009175416780635715,9.698793292045593e-06,0.6727314217284016,5,950848.3756881421
learned_context_no_bad_penalty_hidden_direction,31,2022-07-19,3,0.0437590686728625,False,0.0009578075842000544,1.1458992958068848e-05,0.6767010082780024,5,968385.2166111392
learned_context_no_bad_penalty_hidden_direction,32,2022-07-21,6,0.0908610227685783,False,0.0008750590495765209,9.501352906227112e-06,0.6890934691315987,2,966938.8794758371
learned_context_no_bad_penalty_hidden_direction,33,2022-07-28,6,0.06186185177191731,False,0.000903225620277226,9.920448064804077e-06,0.6038615276500108,5,983813.4592359075
learned_context_no_bad_penalty_hidden_direction,34,2022-08-04,6,0.09929137542221549,False,0.0008837823988869786,9.234994649887085e-06,0.7036584928889803,5,983301.0830917645
learned_context_no_bad_penalty_hidden_direction,35,2022-08-11,5,0.06415955553540652,False,0.0010969166178256273,1.2330710887908936e-05,0.8325701137269748,5,1002026.7709172727
learned_context_no_bad_penalty_hidden_direction,36,2022-08-15,6,0.08924723694992102,False,0.0009206210379488766,9.560957551002502e-06,0.8810066818061587,2,1009329.1367883551
learned_context_no_bad_penalty_hidden_direction,37,2022-08-22,5,0.16759203590723806,False,0.0010416463483124971,9.763985872268677e-06,0.8776382053726156,5,985000.6988071051
learned_context_no_bad_penalty_hidden_direction,38,2022-08-29,5,0.07703516402529678,False,0.001132893725298345,1.309812068939209e-05,0.7759811721190057,5,962797.4842486616
learned_context_no_bad_penalty_hidden_direction,39,2022-09-06,3,0.03557746707906164,False,0.0010009591933339834,1.2082979083061218e-05,0.7473453809923651,5,958239.3814700647
learned_context_no_bad_penalty_hidden_direction,40,2022-09-13,3,0.03654185052311146,False,0.0009952749824151397,1.177564263343811e-05,0.7925893989524677,5,950339.406271469
learned_context_no_bad_penalty_hidden_direction,41,2022-09-20,3,0.03147453700184091,False,0.0009689286234788597,1.181289553642273e-05,0.7349023278124659,5,925501.193251412
learned_context_no_bad_penalty_hidden_direction,42,2022-09-27,3,0.0330758836771183,False,0.0010175296338275075,1.193210482597351e-05,0.6966537182148935,5,913283.4678530075
learned_context_no_bad_penalty_hidden_direction,43,2022-10-04,3,0.028480002691182598,False,0.0009384458535350859,1.099519431591034e-05,0.6459111459397686,5,923842.2490988866
learned_context_no_bad_penalty_hidden_direction,44,2022-10-11,5,0.0482840229207028,False,0.0009902568999677896,1.122988760471344e-05,0.7124604088382461,5,898962.6900189018
learned_context_no_bad_penalty_hidden_direction,45,2022-10-18,3,0.04132631844953453,False,0.0009422609000466764,1.1157244443893433e-05,0.540614915881776,5,924253.342820552
learned_context_no_bad_penalty_hidden_direction,46,2022-10-25,6,0.129582999638836,False,0.0008535421220585704,8.678063750267029e-06,0.6836118999197465,5,952407.6768332153
learned_context_no_bad_penalty_hidden_direction,47,2022-11-01,6,0.1434496005147462,False,0.0008563378942199051,8.443370461463928e-06,0.7204387138240286,5,953594.1274458861
learned_context_no_bad_penalty_hidden_direction,48,2022-11-08,6,0.15430622162768573,False,0.0009022458689287305,9.389594197273254e-06,0.788835135210263,5,958188.6825962521
learned_context_no_bad_penalty_hidden_direction,49,2022-11-11,6,0.1274915702434613,False,0.0008667107322253287,9.350478649139404e-06,0.7251072350186171,3,985433.0940402838
learned_context_no_bad_penalty_hidden_direction,50,2022-11-18,5,0.08516932685516883,False,0.0010031358106061816,1.1110678315162659e-05,0.8549585708434159,5,988862.966105379
learned_context_no_bad_penalty_hidden_direction,51,2022-11-23,5,0.06706802265046898,False,0.0010241741547361016,1.1848285794258118e-05,0.8075992342645479,3,1000888.8913725626
learned_context_no_bad_penalty_hidden_direction,52,2022-12-01,6,0.09004460785896944,False,0.0008728518732823431,8.843839168548584e-06,0.9308732156576041,5,1005334.7070415871
learned_context_no_bad_penalty_hidden_direction,53,2022-12-08,5,0.06084870656273137,False,0.0011332245776429772,1.2712553143501282e-05,0.951804989769162,5,983816.6813917124
learned_context_no_bad_penalty_hidden_direction,54,2022-12-15,5,0.053035528791765846,False,0.00107973488047719,1.2505799531936646e-05,0.819682831201257,5,971787.9764091735
learned_context_no_bad_penalty_hidden_direction,55,2022-12-22,3,0.021909637319596664,False,0.0009991313563659787,1.2069940567016602e-05,0.8641657881170239,5,978045.5269014649
learned_context_no_bad_penalty_hidden_direction,56,2022-12-30,3,0.057459851801313876,False,0.0009080760064534843,9.726732969284058e-06,0.8984439529322938,5,980345.8987951622
learned_context_no_bad_penalty_hidden_direction,57,2023-01-09,3,0.04396351231587662,False,0.0009495020494796336,1.0624527931213379e-05,0.7955000009534636,5,1000451.652468013
