arm,source_code,target_code,eta,n,source_prob_delta_mean,source_prob_delta_p95_abs,target_prob_delta_mean,primitive_switch_rate,action_l1_shift_mean_proxy,action_l1_shift_p95_proxy,raw_action_l2_shift_mean_proxy,action_l1_shift_mean_exact,action_l1_shift_p95_exact,raw_action_l2_shift_mean_exact,logprob_delta_mean_exact,entropy_delta_mean_exact,cash_q_sum_deviation_p95_proxy,mahalanobis_p95_pct,knn_p95_pct,pca_recon_p95_pct,ae_recon_p95_pct,density_p95_pct,ood_max_p95_pct,directionality_gate,policy_output_gate_proxy,policy_output_gate_exact,portfolio_behavior_gate_proxy,ood_safety_gate,no_immediate_risk_blowup_gate_proxy,exact_policy_forward_available,eligible_stage55_proxy,eligible_stage55_exact,status,blocked_exact_reason,obs_ood_max_p95_pct,latent_ood_max_p95_pct
hidden_direction,0,1,1.0,527,-0.011923263719793015,0.017732064775030365,0.014507510729284993,0.19165085388994307,0.011073536330452582,0.011073536330452615,0.11625508918582612,0.011657345658291901,0.013017978705465791,0.11634144621001702,0.03283649422864534,-0.01770821558682697,1.8873791418627535e-16,0.9127539127539127,0.9254079254079254,0.9097569097569097,0.8757908757908758,0.8504828504828504,0.9500499500499501,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,1,1.0,527,-0.009461176370631638,0.01582201274401754,0.011678041285277153,0.16888045540796964,0.016074838192362596,0.016074838192362696,0.20059135309175913,0.01713150108420419,0.019946554675698277,0.20068925907534937,0.04863023124564531,-0.0456751582744678,1.1102230246251565e-16,0.9194139194139194,0.9287379287379287,0.9080586080586079,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,1,1.0,527,,,,,0.08597241976912005,0.15180947745339265,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,1,1.0,527,-0.0034639076561703507,0.006689384912488605,0.0037877897302811235,0.06641366223908918,0.004844295698619205,0.008465839549899101,0.06118733023577838,0.004844295698619205,0.008465839549899101,0.06118733023577838,0.012963810727085063,-0.010887247335300047,,0.9217449217449217,0.9104229104229105,0.9047619047619048,0.8791208791208791,0.8687978687978688,0.9590409590409591,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9590409590409591
hidden_direction,0,7,1.0,527,-0.026019796783227397,0.031238885533084404,0.0034915208545101785,0.2049335863377609,0.018188131289882798,0.018188131289882833,0.27264861713419836,0.022378086828161916,0.025803576037287706,0.2727849857291415,0.06097498971551826,-0.05472897668943459,1.1102230246251565e-16,0.916083916083916,0.9300699300699301,0.8997668997668997,0.8757908757908758,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,7,1.0,527,-0.02645200730999128,0.03168266290368321,0.003677882934844686,0.2049335863377609,0.0192594528427156,0.019259452842715647,0.2813461849962082,0.023431479100286395,0.027016925439238542,0.28146761548360794,0.06157452693700338,-0.05826963826420185,1.1102230246251565e-16,0.9177489177489178,0.9300699300699301,0.8981018981018981,0.8757908757908758,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,7,1.0,527,,,,,0.2000462843519822,0.2781239132364762,,,,,,,,,,,,,,,False,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,7,1.0,527,-0.007859993366629889,0.012616537428209118,0.0005957314834400529,0.08538899430740038,0.011452104327263598,0.018267663195729256,0.18687208910849107,0.011452104327263598,0.018267663195729256,0.18687208910849107,-0.04146536839754803,0.044029568811521584,,0.9127539127539127,0.9154179154179154,0.9254079254079254,0.8752913752913752,0.8521478521478522,0.9517149517149517,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9500499500499501
hidden_direction,0,2,1.0,527,-0.017032909977794844,0.024729521318011316,0.023534500659550966,0.222011385199241,0.020022404024594983,0.020022404024595066,0.2639780023587701,0.02139152031907886,0.02494723331183195,0.2641055312509555,0.06848121368002846,-0.05870232772103297,1.1102230246251565e-16,0.9127539127539127,0.9317349317349317,0.9068931068931069,0.8897768897768897,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,2,1.0,527,-0.015399243428456933,0.02273624900031601,0.022235856089255435,0.2314990512333966,0.020959000561296664,0.02095900056129675,0.28246585932839685,0.022385417916714806,0.026253348588943477,0.28260247881543704,0.07159123429763475,-0.0637624259239356,1.1102230246251565e-16,0.9177489177489178,0.9300699300699301,0.9057276057276057,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
