code_id,mechanism,score,evidence
7,momentum_trend_following,0.7816383687471457,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,execution_metaorder_artifact,0.7191588754799868,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,sector_or_group_rotation,0.7128727545311393,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,active_trading,0.650928302736982,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,calendar_rebalancing,0.555478016399209,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498; month_end_rate=0.034
7,forced_liquidation_stop_loss,0.43825864891600363,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,risk_off_deleveraging,0.4095880004570281,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,liquidity_or_stress_sensitive_execution,0.3642931430356762,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,volatility_targeting,0.29273997630987575,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
7,baseline_hold,0.17357857666586707,cash=0.118; q=0.882; stress=0.321; recovery=0.691; turnover=0.0040; VIX=2.762; SP500Trend=-1.819; residual20=1.498
